objectid,filename,title,hours,noise,traffic,xdoor,seats,tables,description,latitude,longitude,format,type,language,rights,rightsstatement,umdmap
place11,img_3979.jpeg,McKeldin 2,Open 24 hours,loud,heavy traffic,indoor,lots of seats,lots of tables,"McKeldin 2 is a loud, indoor space. Expect heavy traffic on weekdays. There are lots of seats and lots of tables.",38.98596802,-76.9450879,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=035
place12,img_3980.jpeg,McKeldin 4,Open 24 hours,very quiet,moderate traffic,indoor,lots of seats,lots of tables,"McKeldin 4 is a very quiet, indoor space. Expect moderate traffic on weekdays. There are lots of seats and lots of tables.",38.98596802,-76.9450879,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=035
place13,img_3981.jpeg,Footnotes,8:00 AM – 10:00 PM,loud,heavy traffic,indoor,lots of seats,lots of tables,"Footnotes is a loud, indoor space. Expect heavy traffic on weekdays. There are lots of seats and lots of tables.",38.98563054,-76.94480722,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=035
place14,img_3982.jpeg,Tawes Hall,Open 24 hours,loud,heavy traffic,indoor,lots of seats,lots of tables,"Tawes Hall is a loud, indoor space. Expect heavy traffic on weekdays. There are lots of seats and lots of tables.",38.98594437,-76.94858369,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=141
place15,img_3983.jpeg,LeFrak Courtyard,Open 24 hours,quiet,moderate traffic,outdoor,limited seats,limited tables,"LeFrak Courtyard is a quiet, outdoor space. Expect moderate traffic on weekdays. There are limited seats and limited tables.",38.98386923,-76.94400255,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=038
place16,img_3985.jpeg,Chapel Gardens,Open 24 hours,very quiet,light traffic,outdoor,limited seats,no tables,"Chapel Gardens is a very quiet, outdoor space. Expect light traffic on weekdays. There are limited seats and no tables.",38.98385462,-76.94118995,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=placesofinterest&name=Garden of Reflection and Remembrance
place17,img_3984.jpeg,Washington Quad,Open 24 hours,loud,moderate traffic,outdoor,limited seats,limited tables,"Washington Quad is a loud, outdoor space. Expect moderate traffic on weekdays. There are limited seats and limited tables.",38.98223871,-76.94137449,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=placesofinterest&name=Washington Quad
place18,img_3987.jpeg,Hornbake Garden,Open 24 hours,loud,moderate traffic,outdoor,limited seats,limited tables,"Hornbake Garden is a loud, outdoor space. Expect moderate traffic on weekdays. There are limited seats and limited tables.",38.9881393,-76.94208763,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=placesofinterest&name=Hornbake Plaza
place19,img_3988.jpeg,Hornbake Plaza,Open 24 hours,loud,heavy traffic,outdoor,lots of seats,limited tables,"Hornbake Plaza is a loud, outdoor space. Expect heavy traffic on weekdays. There are lots of seats and limited tables.",38.98808893,-76.94261362,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=placesofinterest&name=Hornbake Plaza
place20,img_3989.jpeg,Baltimore Room,7:00 AM – 1:30 AM,very loud,heavy traffic,indoor,lots of seats,lots of tables,"Baltimore Room is a very loud, indoor space. Expect heavy traffic on weekdays. There are lots of seats and lots of tables.",38.98817512,-76.94466772,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=163
place21,img_3990.jpeg,SORC,9:00 AM – 10:00 PM,loud,heavy traffic,indoor,lots of seats,limited tables,"SORC is a loud, indoor space. Expect heavy traffic on weekdays. There are lots of seats and limited tables.",38.98817512,-76.94466772,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=163
place22,img_3991.jpeg,Food Court,7:00 AM – 1:30 AM,very loud,heavy traffic,indoor,lots of seats,lots of tables,"Food Court is a very loud, indoor space. Expect heavy traffic on weekdays. There are lots of seats and lots of tables.",38.98817512,-76.94466772,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=163
place23,img_3992.jpeg,TerpZone,10:00 AM – 1:00 AM,very loud,moderate traffic,indoor,lots of seats,lots of tables,"TerpZone is a very loud, indoor space. Expect moderate traffic on weekdays. There are lots of seats and lots of tables.",38.98817512,-76.94466772,image/jpeg,Image;StillImage,eng,"Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions granted by Brandon Vittetoe. For other uses beyond free use, please contact Brandon Vittetoe at brandon.vittetoe@gmail.com.",https://rightsstatements.org/vocab/InC-EDU/1.0/,https://maps.umd.edu/map/index.html?&feature=building&name=163
